ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"049277034096000089","049","277","034096","00","0089",IP,CUR,"1",S,S,ZC,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",125.00,100.00,RUA BOA VIZINHANCA,"213",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
"087241028347000054","087","241","028347","00","0054",SA,SAM,"1",S,S,ZER 1,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",318.00,438.00,RUA BARBOSA LOPES,"163",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
"121208719064000081","121","208","719064","00","0081",SA,CGR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",130.00,125.00,RUA FRANCISCO IANNI,"144",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
"045160162000000052","045","160","162000","00","0052",VM,SAU,"1",S,S,ZM,"0","0",,"0","0",S,QA,"4","0",,"0","0",MA,"1",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",0.00,251.00,AV PIASSANGUABA,,D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
"046242108510000061","046","242","108510","00","0061",IP,CUR,"1",S,S,ZEU,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",1000.00,664.00,RUA JOSE COCCIUFFO,"161",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
"087241028347000053","087","241","028347","00","0053",SA,SAM,"1",S,S,ZER 1,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",350.00,438.00,RUA BARBOSA LOPES,"153",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
"049277034096000090","049","277","034096","00","0090",IP,CUR,"1",S,S,ZC,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",125.00,100.00,RUA BOA VIZINHANCA,"215",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
"048131124990000121","048","131","124990","00","0121",IP,CUR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",68.00,48.00,RUA CHEBL MASSUD,"65",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
"119054037958000071","119","054","037958","00","0071",IP,SAC,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",112.00,99.00,RUA CACHOEIRA DOURADA,"328",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
"121090174025000021","121","090","174025","00","0021",SA,CGR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"7","0",,"0","0",MA,"2",,L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",72.00,67.00,RUA HAFIZ,"65",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,SUL-SUDESTE
